O2	H2	U	I	u_O2	u_H2
10	15	2.119	137.3	3.2274861218395143	3.2274861218395143
15	20	2.093	221.4	3.2274861218395143	3.2274861218395143
20	30	2.078	234.8	3.2274861218395143	3.2274861218395143
25	40	2.068	244.8	3.2274861218395143	3.2274861218395143
30	50	2.058	253.1	3.2274861218395143	3.2274861218395143
35	60	2.051	259.3	3.2274861218395143	3.2274861218395143
40	70	2.046	264.2	3.2274861218395143	3.2274861218395143
