T,u_T,Uoc,Isc,Imp,Ump,max_power,FF,eta
15,0.5773502691896258,0.59,-0.00240179487179487,-0.00199275946275946,0.4,-0.000797103785103784,0.5625057245513478,0.1594207570207568
25,0.5773502691896258,0.57,-0.00238958485958486,-0.00189507936507936,0.39,-0.0007390809523809504,0.5426186245657766,0.14781619047619007
35,0.5773502691896258,0.54,-0.00238347985347985,-0.00189507936507936,0.36,-0.0006822285714285696,0.5300595436297529,0.13644571428571392
45,0.5773502691896258,0.52,-0.00235295482295482,-0.00184623931623932,0.34,-0.0006277213675213688,0.513038526802948,0.12554427350427377
55,0.5773502691896258,0.49,-0.0023285347985348,-0.00179739926739927,0.32,-0.0005751677655677664,0.5040988724769907,0.11503355311355329
65,0.5773502691896258,0.47,-0.00231021978021978,-0.00180350427350427,0.29,-0.0005230162393162383,0.4816859931298922,0.10460324786324766
75,0.5773502691896258,0.44,-0.00229190476190476,-0.00174855921855922,0.27,-0.0004721109890109894,0.4681606052372733,0.09442219780219788
