intensity,Uoc,Isc,Imp,Ump,light_P,max_power,FF,eta
0,-0.09,-4.5429792429792406e-09,3.46280232957202e-06,0.29,0.0,1.0042126755758858e-06,2456.079594630195,inf
125,0.48,-0.000396253396253396,-0.00037547559769782,0.29,0.000625,-0.0001088879233323678,0.5724868036984607,0.17422067733178848
250,0.51,-0.000761087094420428,-0.000710364821475933,0.29,0.00125,-0.00020600579822802054,0.5307315557749644,0.16480463858241642
500,0.54,-0.00138836385836386,-0.00129678876678877,0.29,0.0025,-0.00037606874236874327,0.5016146111725106,0.1504274969474973
1000,0.57,-0.00238958485958486,-0.00221253968253968,0.29,0.005,-0.0006416365079365072,0.4710768398050104,0.12832730158730143
