Rh,u
2.1702434475048295e-07,1.416381549206345e-08
2.3132050619453583e-07,7.357002269964576e-09
2.38397626921531e-07,5.010520590357871e-09
2.3831361890136097e-07,4.342944386533693e-09
2.3769820512373885e-07,3.863663903141887e-09
2.3613754868646734e-07,3.5153144573235367e-09
2.3531906854749102e-07,3.2655276246352217e-09
2.3547016258903265e-07,3.0886905837775954e-09
