Uh,zakres,c1,c2,u
0.00108,0.5,0.0003,0.0002,5.7922088406180026e-05
0.00219,0.5,0.0003,0.0002,5.811434604582017e-05
0.00318,0.5,0.0003,0.0002,5.828581907576949e-05
0.00357,0.5,0.0003,0.0002,5.835336905726468e-05
0.0039,0.5,0.0003,0.0002,5.8410526733914445e-05
0.00416,0.5,0.0003,0.0002,5.8455560054911235e-05
0.00438,0.5,0.0003,0.0002,5.8493665172677746e-05
0.00457,0.5,0.0003,0.0002,5.852657413802156e-05
