Ic,zakres,najpod,u
1.0,7.5,0.1,0.06808389432653414
2.0,7.5,0.1,0.06808389432653414
3.0,7.5,0.1,0.06808389432653414
3.5,7.5,0.1,0.06808389432653414
4.0,7.5,0.1,0.06808389432653414
4.5,7.5,0.1,0.06808389432653414
5.0,7.5,0.1,0.06808389432653414
5.5,7.5,0.1,0.06808389432653414
