Rh,u
3.074511550631842e-07,1.6326970216265125e-08
3.221586958417052e-07,8.352924500171712e-09
3.3210738593156675e-07,5.55904845141383e-09
3.33105030341118e-07,4.744063574199587e-09
3.3094903944151327e-07,4.14231005489712e-09
3.292302361494016e-07,3.70625572977618e-09
3.2772746989490763e-07,3.391837698255953e-09
3.277002700363781e-07,3.1709006659451658e-09
