Uh,zakres,c1,c2,u
0.00153,0.5,0.0003,0.0002,5.800003069252062e-05
0.00305,0.5,0.0003,0.0002,5.826330241527109e-05
0.00443,0.5,0.0003,0.0002,5.8502325426715594e-05
0.00499,0.5,0.0003,0.0002,5.8599320271939455e-05
0.00543,0.5,0.0003,0.0002,5.867553050747248e-05
0.0058,0.5,0.0003,0.0002,5.873961638735253e-05
0.0061,0.5,0.0003,0.0002,5.87915779115796e-05
0.00636,0.5,0.0003,0.0002,5.8836611232576384e-05
