Rh,u
1.3664495780585962e-07,1.2687553014433467e-08
1.4470734862397901e-07,6.6280907966497314e-09
1.4843625827189665e-07,4.613889375402821e-09
1.4819502351849337e-07,4.059347500961554e-09
1.481042662694065e-07,3.665871295152068e-09
1.4645069125266483e-07,3.38016983602392e-09
1.4613421608428665e-07,3.17536578099119e-09
1.4633156712316252e-07,3.02873678703255e-09
