U	I
-3.62000000000005	-0.000216
-3.61000000000005	-0.000216
-3.60000000000005	-0.000216
-3.59000000000005	-0.000216
-3.58000000000005	-0.000216
-3.57000000000005	-0.000216
-3.56000000000005	-0.000216
-3.55000000000005	-0.000216
-3.54000000000005	-0.000216
-3.53000000000005	-0.000216
-3.52000000000005	-0.000216
-3.51000000000005	-0.000216
-3.50000000000005	-0.000216
-3.49000000000005	-0.000216
-3.48000000000005	-0.000216
-3.47000000000005	-0.000216
-3.46000000000005	-0.000216
-3.45000000000005	-0.000216
-3.44000000000005	-0.000216
-3.43000000000005	-0.000216
-3.42000000000006	-0.000216
-3.41000000000006	-0.000216
-3.40000000000006	-0.000216
-3.39000000000006	-0.000216
-3.38000000000006	-0.000216
-3.37000000000006	-0.000216
-3.36000000000006	-0.000216
-3.35000000000006	-0.000216
-3.34000000000006	-0.000216
-3.33000000000006	-0.000216
-3.32000000000006	-0.000216
-3.31000000000006	-0.000216
-3.30000000000006	-0.000216
-3.29000000000006	-0.000216
-3.28000000000006	-0.000216
-3.27000000000006	-0.000216
-3.26000000000006	-0.000216
-3.25000000000006	-0.000216
-3.24000000000006	-0.000216
-3.23000000000006	-0.000216
-3.22000000000006	-0.000216
-3.21000000000006	-0.000216
-3.20000000000006	-0.000216
-3.19000000000006	-0.000216
-3.18000000000006	-0.000216
-3.17000000000006	-0.000216
-3.16000000000006	-0.000216
-3.15000000000006	-0.000216
-3.14000000000006	-0.000216
-3.13000000000006	-0.000216
-3.12000000000006	-0.000216
-3.11000000000006	-0.000216
-3.10000000000006	-0.000216
-3.09000000000006	-0.000216
-3.08000000000006	-0.000216
-3.07000000000006	-0.000216
-3.06000000000006	-0.000216
-3.05000000000006	-0.000216
-3.04000000000006	-0.000216
-3.03000000000006	-0.000216
-3.02000000000006	-0.000216
-3.01000000000006	-0.000216
-3.00000000000006	-0.000216
-2.99000000000006	-0.000216
-2.98000000000006	-0.000216
-2.97000000000006	-0.000216
-2.96000000000006	-0.000216
-2.95000000000007	-0.000216
-2.94000000000007	-0.000216
-2.93000000000007	-0.000216
-2.92000000000007	-0.000216
-2.91000000000007	-0.000216
-2.90000000000007	-0.000216
-2.89000000000007	-0.000216
-2.88000000000007	-0.000216
-2.87000000000007	-0.000216
-2.86000000000007	-0.000216
-2.85000000000007	-0.000216
-2.84000000000007	-0.000216
-2.83000000000007	-0.000216
-2.82000000000007	-0.000216
-2.81000000000007	-0.000216
-2.80000000000007	-0.000216
-2.79000000000007	-0.000216
-2.78000000000007	-0.000216
-2.77000000000007	-0.000216
-2.76000000000007	-0.000216
-2.75000000000007	-0.000216
-2.74000000000007	-0.000216
-2.73000000000007	-0.000216
-2.72000000000007	-0.000216
-2.71000000000007	-0.000216
-2.70000000000007	-0.000216
-2.69000000000007	-0.000216
-2.68000000000007	-0.000216
-2.67000000000007	-0.000216
-2.66000000000007	-0.000216
-2.65000000000007	-0.000216
-2.64000000000007	-0.000216
-2.63000000000007	-0.000216
-2.62000000000007	-0.000216
-2.61000000000007	-0.000216
-2.60000000000007	-0.000216
-2.59000000000007	-0.000216
-2.58000000000007	-0.000216
-2.57000000000007	-0.000216
-2.56000000000007	-0.000216
-2.55000000000007	-0.000216
-2.54000000000007	-0.000216
-2.53000000000007	-0.000216
-2.52000000000007	-0.000216
-2.51000000000007	-0.000216
-2.50000000000007	-0.000216
-2.49000000000007	-0.000216
-2.48000000000008	-0.000216
-2.47000000000008	-0.000216
-2.46000000000008	-0.000216
-2.45000000000008	-0.000216
-2.44000000000008	-0.000216
-2.43000000000008	-0.000216
-2.42000000000008	-0.000216
-2.41000000000008	-0.000216
-2.40000000000008	-0.000216
-2.39000000000008	-0.000216
-2.38000000000008	-0.000216
-2.37000000000008	-0.000216
-2.36000000000008	-0.000216
-2.35000000000008	-0.000216
-2.34000000000008	-0.000216
-2.33000000000008	-0.000216
-2.32000000000008	-0.000216
-2.31000000000008	-0.000216
-2.30000000000008	-0.000216
-2.29000000000008	-0.000216
-2.28000000000008	-0.000216
-2.27000000000008	-0.000216
-2.26000000000008	-0.000216
-2.25000000000008	-0.000216
-2.24000000000008	-0.000216
-2.23000000000008	-0.000216
-2.22000000000008	-0.000216
-2.21000000000008	-0.000216
-2.20000000000008	-0.000216
-2.19000000000008	-0.000216
-2.18000000000008	-0.000216
-2.17000000000008	-0.000216
-2.16000000000008	-0.000216
-2.15000000000008	-0.000216
-2.14000000000008	-0.000216
-2.13000000000008	-0.000216
-2.12000000000008	-0.000216
-2.11000000000008	-0.000216
-2.10000000000008	-0.000216
-2.09000000000008	-0.000216
-2.08000000000008	-0.000216
-2.07000000000008	-0.000216
-2.06000000000008	-0.000216
-2.05000000000008	-0.000216
-2.04000000000008	-0.000216
-2.03000000000008	-0.000216
-2.02000000000008	-0.000216
-2.01000000000009	-0.000216
-2.00000000000009	-0.000216
-1.99000000000009	-0.000216
-1.98000000000009	-0.000216
-1.97000000000009	-0.000216
-1.96000000000009	-0.000216
-1.95000000000009	-0.000216
-1.94000000000009	-0.000216
-1.93000000000009	-0.000216
-1.92000000000009	-0.000216
-1.91000000000009	-0.000216
-1.90000000000009	-0.000216
-1.89000000000009	-0.000216
-1.88000000000009	-0.000216
-1.87000000000009	-0.000216
-1.86000000000009	-0.000216
-1.85000000000009	-0.000216
-1.84000000000009	-0.000216
-1.83000000000009	-0.000216
-1.82000000000009	-0.000216
-1.81000000000009	-0.000216
-1.80000000000009	-0.000216
-1.79000000000009	-0.000216
-1.78000000000009	-0.000216
-1.77000000000009	-0.000216
-1.76000000000009	-0.000216
-1.75000000000009	-0.000216
-1.74000000000009	-0.000216
-1.73000000000009	-0.000216
-1.72000000000009	-0.000216
-1.71000000000009	-0.000216
-1.70000000000009	-0.000216
-1.69000000000008	-0.000216
-1.68000000000008	-0.000216
-1.67000000000008	-0.000216
-1.66000000000008	-0.000216
-1.65000000000008	-0.000216
-1.64000000000008	-0.000216
-1.63000000000008	-0.000216
