U	I
-4.30000000000004	-1.35e-06
-4.29000000000004	-1.35e-06
-4.28000000000004	-1.35e-06
-4.27000000000004	-1.35e-06
-4.26000000000004	-1.35e-06
-4.25000000000004	-1.35e-06
-4.24000000000004	-1.35e-06
-4.23000000000004	-1.34e-06
-4.22000000000004	-1.34e-06
-4.21000000000004	-1.34e-06
-4.20000000000004	-1.34e-06
-4.19000000000004	-1.34e-06
-4.18000000000004	-1.34e-06
-4.17000000000004	-1.34e-06
-4.16000000000004	-1.34e-06
-4.15000000000004	-1.34e-06
-4.14000000000004	-1.33e-06
-4.13000000000004	-1.34e-06
-4.12000000000004	-1.33e-06
-4.11000000000004	-1.33e-06
-4.10000000000004	-1.33e-06
-4.09000000000004	-1.33e-06
-4.08000000000004	-1.33e-06
-4.07000000000004	-1.33e-06
-4.06000000000004	-1.33e-06
-4.05000000000004	-1.33e-06
-4.04000000000004	-1.33e-06
-4.03000000000004	-1.32e-06
-4.02000000000004	-1.32e-06
-4.01000000000004	-1.32e-06
-4.00000000000004	-1.32e-06
-3.99000000000004	-1.32e-06
-3.98000000000004	-1.32e-06
-3.97000000000004	-1.32e-06
-3.96000000000004	-1.32e-06
-3.95000000000004	-1.32e-06
-3.94000000000004	-1.31e-06
-3.93000000000004	-1.31e-06
-3.92000000000004	-1.31e-06
-3.91000000000004	-1.31e-06
-3.90000000000004	-1.31e-06
-3.89000000000005	-1.31e-06
-3.88000000000005	-1.3e-06
-3.87000000000005	-1.31e-06
-3.86000000000005	-1.3e-06
-3.85000000000005	-1.3e-06
-3.84000000000005	-1.3e-06
-3.83000000000005	-1.3e-06
-3.82000000000005	-1.3e-06
-3.81000000000005	-1.3e-06
-3.80000000000005	-1.3e-06
-3.79000000000005	-1.3e-06
-3.78000000000005	-1.3e-06
-3.77000000000005	-1.29e-06
-3.76000000000005	-1.29e-06
-3.75000000000005	-1.29e-06
-3.74000000000005	-1.29e-06
-3.73000000000005	-1.29e-06
-3.72000000000005	-1.29e-06
-3.71000000000005	-1.29e-06
-3.70000000000005	-1.29e-06
-3.69000000000005	-1.29e-06
-3.68000000000005	-1.28e-06
-3.67000000000005	-1.28e-06
-3.66000000000005	-1.28e-06
-3.65000000000005	-1.28e-06
-3.64000000000005	-1.28e-06
-3.63000000000005	-1.28e-06
-3.62000000000005	-1.28e-06
-3.61000000000005	-1.28e-06
-3.60000000000005	-1.28e-06
-3.59000000000005	-1.27e-06
-3.58000000000005	-1.28e-06
-3.57000000000005	-1.27e-06
-3.56000000000005	-1.27e-06
-3.55000000000005	-1.27e-06
-3.54000000000005	-1.27e-06
-3.53000000000005	-1.27e-06
-3.52000000000005	-1.27e-06
-3.51000000000005	-1.26e-06
-3.50000000000005	-1.26e-06
-3.49000000000005	-1.26e-06
-3.48000000000005	-1.26e-06
-3.47000000000005	-1.26e-06
-3.46000000000005	-1.26e-06
-3.45000000000005	-1.26e-06
-3.44000000000005	-1.26e-06
-3.43000000000005	-1.26e-06
-3.42000000000006	-1.25e-06
-3.41000000000006	-1.25e-06
-3.40000000000006	-1.25e-06
-3.39000000000006	-1.25e-06
-3.38000000000006	-1.25e-06
-3.37000000000006	-1.25e-06
-3.36000000000006	-1.25e-06
-3.35000000000006	-1.25e-06
-3.34000000000006	-1.25e-06
-3.33000000000006	-1.24e-06
-3.32000000000006	-1.25e-06
-3.31000000000006	-1.24e-06
-3.30000000000006	-1.24e-06
-3.29000000000006	-1.24e-06
-3.28000000000006	-1.24e-06
-3.27000000000006	-1.24e-06
-3.26000000000006	-1.24e-06
-3.25000000000006	-1.24e-06
-3.24000000000006	-1.23e-06
-3.23000000000006	-1.24e-06
-3.22000000000006	-1.23e-06
-3.21000000000006	-1.23e-06
-3.20000000000006	-1.23e-06
-3.19000000000006	-1.23e-06
-3.18000000000006	-1.23e-06
-3.17000000000006	-1.23e-06
-3.16000000000006	-1.22e-06
-3.15000000000006	-1.22e-06
-3.14000000000006	-1.22e-06
-3.13000000000006	-1.22e-06
-3.12000000000006	-1.22e-06
-3.11000000000006	-1.22e-06
-3.10000000000006	-1.22e-06
-3.09000000000006	-1.22e-06
-3.08000000000006	-1.22e-06
-3.07000000000006	-1.21e-06
-3.06000000000006	-1.21e-06
-3.05000000000006	-1.21e-06
-3.04000000000006	-1.21e-06
-3.03000000000006	-1.21e-06
-3.02000000000006	-1.21e-06
