one_over_chi,u
0.00077691892390145,0.00013776478246093932
0.0007380443076769118,0.00012432305708982025
0.0007028746381386927,0.00011275675182856506
0.0006709043563298121,0.00010273254204404571
0.0003688860267223539,3.105783798254922e-05
0.00026825375896263095,1.642398136092426e-05
0.0002458937822214628,1.3800089565674854e-05
0.00021381382252003148,1.0434181009375823e-05
0.00021075869558228344,1.0138129043077038e-05
0.00021075869558228344,1.0138129043077038e-05
0.00022697458269376519,1.1758211382830993e-05
0.00022697458269376519,1.1758211382830993e-05
0.00022697458269376519,1.1758211382830993e-05
0.0003513138542702497,2.8169384931751046e-05
0.0004611500613564065,4.853682371296147e-05
0.000527063363736254,6.340338862893878e-05
0.0005903483055002453,7.954327222065569e-05
