Uy,pod,najpod,u
0.44,0.1,0.02,0.016329931618554522
0.44,0.1,0.02,0.016329931618554522
0.46,0.1,0.02,0.016329931618554522
0.48,0.1,0.02,0.016329931618554522
0.42,0.1,0.02,0.016329931618554522
0.36,0.1,0.02,0.016329931618554522
0.3,0.05,0.01,0.008164965809277261
0.21,0.05,0.01,0.008164965809277261
0.19,0.05,0.01,0.008164965809277261
0.18,0.05,0.01,0.008164965809277261
0.17,0.02,0.004,0.003265986323710904
0.15,0.02,0.004,0.003265986323710904
0.13,0.02,0.004,0.003265986323710904
