Uc,pod,najpod,u
3.5,0.5,0.1,0.08164965809277261
3.4,0.5,0.1,0.08164965809277261
3.4,0.5,0.1,0.08164965809277261
3.3,0.5,0.1,0.08164965809277261
3.0,0.5,0.1,0.08164965809277261
2.8,0.5,0.1,0.08164965809277261
2.6,0.5,0.1,0.08164965809277261
2.1,0.5,0.1,0.08164965809277261
1.9,0.5,0.1,0.08164965809277261
1.8,0.5,0.1,0.08164965809277261
1.6,0.5,0.1,0.08164965809277261
1.6,0.5,0.1,0.08164965809277261
1.4,0.2,0.04,0.032659863237109045
