T,u
301.0,2.3151745794503995
306.5,2.3469288442558285
308.2,2.3567437988320523
313.2,2.3856113122915334
318.4,2.415633526289394
320.09999999999997,2.425448480865618
321.2,2.431799333826704
322.2,2.4375728365186
322.4,2.4387275370569794
322.59999999999997,2.439882237595358
322.8,2.441036938133738
323.0,2.442191638672117
323.2,2.443346339210496
328.2,2.4722138526699777
333.2,2.501081366129459
338.2,2.52994887958894
343.2,2.5588163930484216
