P,u
0.010339999999999998,0.00038375339303603126
0.010339999999999998,0.00038375339303603126
0.01081,0.00038375339303603126
0.011279999999999998,0.00038375339303603126
0.009869999999999999,0.00038375339303603126
0.008459999999999999,0.00038375339303603126
0.00705,0.00019187669651801563
0.004934999999999999,0.00019187669651801563
0.004464999999999999,0.00019187669651801563
0.004229999999999999,0.00019187669651801563
0.003995,7.675067860720623e-05
0.003525,7.675067860720623e-05
0.0030549999999999996,7.675067860720623e-05
